"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Telégrafo - Belém (PA)";"20 a 24 anos";"1783";"1018";"765"
"Telégrafo - Belém (PA)";"25 a 29 anos";"2619";"1445";"1174"
"Telégrafo - Belém (PA)";"30 a 34 anos";"2620";"1433";"1187"
"Telégrafo - Belém (PA)";"35 a 39 anos";"2510";"1339";"1171"
"Telégrafo - Belém (PA)";"40 a 44 anos";"2260";"1219";"1041"
"Telégrafo - Belém (PA)";"45 a 49 anos";"1976";"1074";"902"
"Telégrafo - Belém (PA)";"50 a 54 anos";"1692";"875";"817"
"Telégrafo - Belém (PA)";"55 a 59 anos";"1286";"652";"634"
"Telégrafo - Belém (PA)";"60 a 69 anos";"1988";"879";"1109"
"Telégrafo - Belém (PA)";"70 anos ou mais";"2013";"770";"1243"
"Montese (Terra Firme) - Belém (PA)";"Total";"29712";"15970";"13742"
"Montese (Terra Firme) - Belém (PA)";"10 a 14 anos";"452";"236";"216"
"Montese (Terra Firme) - Belém (PA)";"15 a 19 anos";"1090";"642";"448"
"Montese (Terra Firme) - Belém (PA)";"15 a 17 anos";"458";"272";"186"
"Montese (Terra Firme) - Belém (PA)";"18 ou 19 anos";"632";"370";"262"
"Montese (Terra Firme) - Belém (PA)";"20 a 24 anos";"3195";"1842";"1353"
"Montese (Terra Firme) - Belém (PA)";"25 a 29 anos";"4325";"2407";"1918"
"Montese (Terra Firme) - Belém (PA)";"30 a 34 anos";"4174";"2289";"1885"
"Montese (Terra Firme) - Belém (PA)";"35 a 39 anos";"3615";"1947";"1668"
"Montese (Terra Firme) - Belém (PA)";"40 a 44 anos";"3051";"1659";"1392"
"Montese (Terra Firme) - Belém (PA)";"45 a 49 anos";"2493";"1296";"1197"
"Montese (Terra Firme) - Belém (PA)";"50 a 54 anos";"2173";"1201";"972"
"Montese (Terra Firme) - Belém (PA)";"55 a 59 anos";"1580";"858";"722"
"Montese (Terra Firme) - Belém (PA)";"60 a 69 anos";"2095";"1007";"1088"
"Montese (Terra Firme) - Belém (PA)";"70 anos ou mais";"1469";"586";"883"
"Campina - Belém (PA)";"Total";"3927";"1794";"2133"
"Campina - Belém (PA)";"10 a 14 anos";"13";"5";"8"
"Campina - Belém (PA)";"15 a 19 anos";"67";"26";"41"
"Campina - Belém (PA)";"15 a 17 anos";"12";"7";"5"
"Campina - Belém (PA)";"18 ou 19 anos";"55";"19";"36"
"Campina - Belém (PA)";"20 a 24 anos";"316";"155";"161"
"Campina - Belém (PA)";"25 a 29 anos";"459";"218";"241"
"Campina - Belém (PA)";"30 a 34 anos";"385";"168";"217"
"Campina - Belém (PA)";"35 a 39 anos";"383";"186";"197"
"Campina - Belém (PA)";"40 a 44 anos";"359";"174";"185"
"Campina - Belém (PA)";"45 a 49 anos";"387";"190";"197"
"Campina - Belém (PA)";"50 a 54 anos";"358";"181";"177"
"Campina - Belém (PA)";"55 a 59 anos";"303";"129";"174"
"Campina - Belém (PA)";"60 a 69 anos";"452";"202";"250"
"Campina - Belém (PA)";"70 anos ou mais";"445";"160";"285"
"Umarizal - Belém (PA)";"Total";"18063";"8324";"9739"
"Umarizal - Belém (PA)";"10 a 14 anos";"65";"39";"26"
"Umarizal - Belém (PA)";"15 a 19 anos";"284";"135";"149"
"Umarizal - Belém (PA)";"15 a 17 anos";"77";"30";"47"
"Umarizal - Belém (PA)";"18 ou 19 anos";"207";"105";"102"
"Umarizal - Belém (PA)";"20 a 24 anos";"1297";"625";"672"
"Umarizal - Belém (PA)";"25 a 29 anos";"1929";"945";"984"
"Umarizal - Belém (PA)";"30 a 34 anos";"1813";"888";"925"
"Umarizal - Belém (PA)";"35 a 39 anos";"1694";"800";"894"
"Umarizal - Belém (PA)";"40 a 44 anos";"1784";"855";"929"
"Umarizal - Belém (PA)";"45 a 49 anos";"1847";"911";"936"
"Umarizal - Belém (PA)";"50 a 54 anos";"1730";"797";"933"
"Umarizal - Belém (PA)";"55 a 59 anos";"1394";"662";"732"
"Umarizal - Belém (PA)";"60 a 69 anos";"2030";"900";"1130"
"Umarizal - Belém (PA)";"70 anos ou mais";"2196";"767";"1429"
"Barreiro - Belém (PA)";"Total";"11743";"6539";"5204"
"Barreiro - Belém (PA)";"10 a 14 anos";"146";"65";"81"
"Barreiro - Belém (PA)";"15 a 19 anos";"487";"292";"195"
"Barreiro - Belém (PA)";"15 a 17 anos";"198";"106";"92"
"Barreiro - Belém (PA)";"18 ou 19 anos";"289";"186";"103"
"Barreiro - Belém (PA)";"20 a 24 anos";"1310";"784";"526"
"Barreiro - Belém (PA)";"25 a 29 anos";"1798";"1038";"760"
"Barreiro - Belém (PA)";"30 a 34 anos";"1771";"1003";"768"
"Barreiro - Belém (PA)";"35 a 39 anos";"1570";"886";"684"
"Barreiro - Belém (PA)";"40 a 44 anos";"1208";"657";"551"
"Barreiro - Belém (PA)";"45 a 49 anos";"872";"471";"401"
"Barreiro - Belém (PA)";"50 a 54 anos";"715";"408";"307"
"Barreiro - Belém (PA)";"55 a 59 anos";"583";"332";"251"
"Barreiro - Belém (PA)";"60 a 69 anos";"758";"393";"365"
"Barreiro - Belém (PA)";"70 anos ou mais";"525";"210";"315"
"Maracangalha - Belém (PA)";"Total";"14991";"8069";"6922"
"Maracangalha - Belém (PA)";"10 a 14 anos";"216";"95";"121"
"Maracangalha - Belém (PA)";"15 a 19 anos";"486";"282";"204"
"Maracangalha - Belém (PA)";"15 a 17 anos";"210";"121";"89"
"Maracangalha - Belém (PA)";"18 ou 19 anos";"276";"161";"115"
"Maracangalha - Belém (PA)";"20 a 24 anos";"1428";"819";"609"
"Maracangalha - Belém (PA)";"25 a 29 anos";"2027";"1153";"874"
"Maracangalha - Belém (PA)";"30 a 34 anos";"2065";"1116";"949"
"Maracangalha - Belém (PA)";"35 a 39 anos";"1853";"1040";"813"
"Maracangalha - Belém (PA)";"40 a 44 anos";"1625";"865";"760"
"Maracangalha - Belém (PA)";"45 a 49 anos";"1275";"683";"592"
"Maracangalha - Belém (PA)";"50 a 54 anos";"1215";"698";"517"
"Maracangalha - Belém (PA)";"55 a 59 anos";"863";"451";"412"
"Maracangalha - Belém (PA)";"60 a 69 anos";"1059";"510";"549"
"Maracangalha - Belém (PA)";"70 anos ou mais";"879";"357";"522"
"Miramar - Belém (PA)";"Total";"261";"142";"119"
"Miramar - Belém (PA)";"10 a 14 anos";"9";"3";"6"
"Miramar - Belém (PA)";"15 a 19 anos";"16";"9";"7"
"Miramar - Belém (PA)";"15 a 17 anos";"9";"5";"4"
"Miramar - Belém (PA)";"18 ou 19 anos";"7";"4";"3"
"Miramar - Belém (PA)";"20 a 24 anos";"20";"10";"10"
"Miramar - Belém (PA)";"25 a 29 anos";"28";"13";"15"
"Miramar - Belém (PA)";"30 a 34 anos";"57";"32";"25"
"Miramar - Belém (PA)";"35 a 39 anos";"32";"18";"14"
"Miramar - Belém (PA)";"40 a 44 anos";"24";"14";"10"
